NUMERO;OPERADOR
928000399;"SIN OPERADOR"
928000400;"SIN OPERADOR"
928000401;"SIN OPERADOR"
928000402;"SIN OPERADOR"
928000403;"SIN OPERADOR"
928000404;"SIN OPERADOR"
928000405;"SIN OPERADOR"
928000406;"SIN OPERADOR"
928000407;"SIN OPERADOR"
928000408;"SIN OPERADOR"
928000409;"SIN OPERADOR"
928000410;"SIN OPERADOR"
928000411;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000412;"SIN OPERADOR"
928000413;"SIN OPERADOR"
928000414;"SIN OPERADOR"
928000415;"SIN OPERADOR"
928000416;"SIN OPERADOR"
928000417;"SIN OPERADOR"
928000418;"SIN OPERADOR"
928000419;"SIN OPERADOR"
928000420;"SIN OPERADOR"
928000421;"SIN OPERADOR"
928000422;"SIN OPERADOR"
928000423;"SIN OPERADOR"
928000424;"SIN OPERADOR"
928000425;"SIN OPERADOR"
928000426;"SIN OPERADOR"
928000427;"SIN OPERADOR"
928000428;"SIN OPERADOR"
928000429;"SIN OPERADOR"
928000430;"SIN OPERADOR"
928000431;"SIN OPERADOR"
928000432;"SIN OPERADOR"
928000433;"SIN OPERADOR"
928000434;"SIN OPERADOR"
928000435;"SIN OPERADOR"
928000436;"SIN OPERADOR"
928000437;"SIN OPERADOR"
928000438;"SIN OPERADOR"
928000439;"SIN OPERADOR"
928000440;"SIN OPERADOR"
928000441;"SIN OPERADOR"
928000442;"SIN OPERADOR"
928000443;"SIN OPERADOR"
928000444;"SIN OPERADOR"
928000445;"SIN OPERADOR"
928000446;"SIN OPERADOR"
928000447;"SIN OPERADOR"
928000448;"SIN OPERADOR"
928000449;"SIN OPERADOR"
928000450;"SIN OPERADOR"
928000451;"SIN OPERADOR"
928000452;"SIN OPERADOR"
928000453;"SIN OPERADOR"
928000454;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000455;"SIN OPERADOR"
928000456;"SIN OPERADOR"
928000457;"SIN OPERADOR"
928000458;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000459;"SIN OPERADOR"
928000460;"SIN OPERADOR"
928000461;"SIN OPERADOR"
928000462;"SIN OPERADOR"
928000463;"SIN OPERADOR"
928000464;"SIN OPERADOR"
928000465;"SIN OPERADOR"
928000466;"SIN OPERADOR"
928000467;"SIN OPERADOR"
928000468;"SIN OPERADOR"
928000469;"SIN OPERADOR"
928000470;"SIN OPERADOR"
928000471;"SIN OPERADOR"
928000472;"SIN OPERADOR"
928000473;"SIN OPERADOR"
928000474;"SIN OPERADOR"
928000475;"SIN OPERADOR"
928000476;"SIN OPERADOR"
928000477;"SIN OPERADOR"
928000478;"SIN OPERADOR"
928000479;"SIN OPERADOR"
928000480;"SIN OPERADOR"
928000481;"SIN OPERADOR"
928000482;"SIN OPERADOR"
928000483;"SIN OPERADOR"
928000484;"SIN OPERADOR"
928000485;"SIN OPERADOR"
928000486;"SIN OPERADOR"
928000487;"SIN OPERADOR"
928000488;"SIN OPERADOR"
928000489;"SIN OPERADOR"
928000490;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000491;"SIN OPERADOR"
928000492;"SIN OPERADOR"
928000493;"SIN OPERADOR"
928000494;"SIN OPERADOR"
928000495;"SIN OPERADOR"
928000496;"SIN OPERADOR"
928000497;"SIN OPERADOR"
928000498;"SIN OPERADOR"
928000499;"SIN OPERADOR"
928000500;"SIN OPERADOR"
928000501;"SIN OPERADOR"
928000502;"SIN OPERADOR"
928000503;"SIN OPERADOR"
928000504;"Xtra Telecom S.A."
928000505;"SIN OPERADOR"
